"03758","H0520","ENZIMOLOGIA"
"03758","H0520","ENZIMOLOGIA"
"04007","H0523","PROCESOS DE BLANQUEO"
"04012","H0529","QUIMICA DEL PAPEL"
"76007","H0533","TOPICOS AVANZADOS EN BIOTECNOLOGIA"
"04051","H0540","TOPICOS SELECTOS EN QUIMICA DE LA MADERA"
"42432","I5988","LABORATORIO DE MECANICA"
"43559","I7354","LABORATORIO DE MECANICA"
"61100","I7354","LABORATORIO DE MECANICA"
"42421","I5808","LABORATORIO DE MECANICA"
"43560","I7354","LABORATORIO DE MECANICA"
"42426","I5808","LABORATORIO DE MECANICA"
"43556","I7354","LABORATORIO DE MECANICA"
"42429","I5808","LABORATORIO DE MECANICA"
"43557","I7354","LABORATORIO DE MECANICA"
"77633","I7354","LABORATORIO DE MECANICA"
"77634","I7354","LABORATORIO DE MECANICA"
"131852","I7354","LABORATORIO DE MECANICA"
"131853","I7354","LABORATORIO DE MECANICA"
"77753","I6916","TALLER DE FISICA APLICADA A LA QUIMICA"
"43554","I7354","LABORATORIO DE MECANICA"
"42430","I5988","LABORATORIO DE MECANICA"
"42425","I5808","LABORATORIO DE MECANICA"
"42428","I5808","LABORATORIO DE MECANICA"
"42431","I5988","LABORATORIO DE MECANICA"
"133448","I5988","LABORATORIO DE MECANICA"
"42427","I5808","LABORATORIO DE MECANICA"
"42422","I5808","LABORATORIO DE MECANICA"
"77635","I7354","LABORATORIO DE MECANICA"
"77636","I7354","LABORATORIO DE MECANICA"
"77750","I6916","TALLER DE FISICA APLICADA A LA QUIMICA"
"46138","FS112","LABORATORIO DE ELECTRICIDAD Y MAGNETISMO"
"77616","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"77620","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"77624","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"77625","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"42418","I5995","LABORATORIO DE ELECTROMAGNETISMO"
"77540","I5995","LABORATORIO DE ELECTROMAGNETISMO"
"42419","I6006","LABORATORIO DE ELECTRONICA BASICA"
"112003","I6006","LABORATORIO DE ELECTRONICA BASICA"
"46141","FS112","LABORATORIO DE ELECTRICIDAD Y MAGNETISMO"
"77619","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"77622","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"77623","I7351","LABORATORIO DE ELECTROMAGNETISMO"
"60987","I5995","LABORATORIO DE ELECTROMAGNETISMO"
"42423","I5808","LABORATORIO DE MECANICA"
"43558","I7354","LABORATORIO DE MECANICA"
"43555","I7354","LABORATORIO DE MECANICA"
"118757","I6029","LABORATORIO DE FISICA III"
"49978","FS115","LABORATORIO DE MEDIOS CONTINUOS"
"43708","I6918","LABORATORIOS DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"43709","I6918","LABORATORIOS DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"72268","I5998","LABORATORIO DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"43710","I6918","LABORATORIOS DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"60821","I6918","LABORATORIOS DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"60822","I6918","LABORATORIOS DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"103802","I6176","LABORATORIO DE BIOLOGIA MOLECULAR Y GENETICA"
"42420","I6004","LABORATORIO DE FISICA MODERNA"
"42435","I5998","LABORATORIO DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"49977","FS114","LABORATORIO DE FISICA MODERNA"
"42435","I5998","LABORATORIO DE ONDAS, FLUIDOS Y FISICA MOLECULAR"
"46123","FS111","LABORATORIO DE OPTICA"
